syntitem,pointitem,offset
hsi_4_0717_209_001_main__ggpt__652,st2_mirrored.7800_8288_1.01stretch,-1.0947
hsi_5_0718_211_003_main__ggpt__653,st2_mirrored.7431_7795_1.16stretch,0.005399999999999849
hsi_6_0718_222_003_main__ggpt__654,st1.7376_7753,-0.7020000000000001
hsi_6_0718_227_001_main__ggpt__657,st1_mirrored.28398_28825_1.07stretch,-1.3688
hsi_4_0717_227_003_main__ggpt__658,st1.7758_8082_1.4stretch,-0.34099999999999997
hsi_7_0719_210_003_main__ggpt__659,st1.7376_7753_0.82stretch,0.0
hsi_4_0717_210_001_main__ggpt__661,st1.11922_12193_1.07stretch,-0.5021
hsi_5_0718_209_003_main__ggpt__663,st1.11922_12193_1.0stretch,-1.4369999999999998
hsi_5_0718_222_003_main__ggpt__664,st2.7431_7795,0.03699999999999992
hsi_5_0718_227_002_main__ggpt__668,st1.8457_8944,-0.6179999999999999
hsi_4_0717_210_003_main__ggpt__670,st2.9428_9874_1.01stretch,-0.4993000000000001
hsi_7_0719_222_004_main__ggpt__673,st1.22983_23268_0.9stretch,-0.3849999999999998
hsi_3_0715_210_010_main__ggpt__681,st2.6146_6478,0.018000000000000016
hsi_7_0719_222_002_main__ggpt__684,st1.7376_7753_1.04stretch,-0.6769999999999999
hsi_4_0717_209_003_main__ggpt__685,st1_mirrored.19997_20370_1.18stretch,-0.47919999999999985
hsi_4_0717_211_002_main__ggpt__699,st1.33801_34062_1.01stretch,-1.0236999999999998
hsi_6_0718_210_002_main__ggpt__709,st1.25614_26056_1.01stretch,-1.2597999999999998
hsi_6_0718_227_001_main__ggpt__710,st2_mirrored.1527_1810_1.35stretch,0.023500000000000076
hsi_7_0719_210_003_main__ggpt__712,st1.43572_44146_0.83stretch,0.0033000000000000806
hsi_4_0717_227_004_main__ggpt__713,st2_mirrored.11976_12272_1.24stretch,0.0796
hsi_3_0715_227_002_main__ggpt__719,st1.17976_18360_1.16stretch,-0.2929999999999999
hsi_5_0718_209_001_main__ggpt__720,st1_mirrored.14865_15137_1.04stretch,-1.1408
hsi_7_0719_211_004_main__ggpt__724,st1.12960_13246_0.98stretch,0.00039999999999995595
hsi_7_0719_210_001_main__ggpt__728,st1.9453_9745_1.12stretch,-0.5157999999999999
hsi_5_0718_209_002_main__ggpt__730,st1_mirrored.17594_17971_0.86stretch,0.0008000000000000229
hsi_6_0718_209_003_main__ggpt__731,st1_mirrored.17235_17589,0.07699999999999996
hsi_4_0717_227_002_main__ggpt__732,st2.1527_1810_1.31stretch,0.000300000000000078
hsi_6_0718_209_001_main__ggpt__733,st1.9453_9745_1.06stretch,-0.5723999999999999
